attr1,attr2,TPR_diff,FPR_diff
SEX,MAR,0.13036739574230652,0.1426626939579924
AGEP,SEX,0.2883556763282468,0.1467569649627862
RAC1P,SEX,0.17790494637658638,0.07649595905157565
