model,attr1,attr2,TPR_diff,FPR_diff
income,SEX,MAR,0.10171103,0.14249824
income,AGEP,SEX,0.22834598,0.17232843
income,DIS,SEX,0.14027324,0.08795657
income,DIS,RAC1P,0.12476595,0.055500027
income,RAC1P,SEX,0.12199084,0.0666591
